tipo_de_enfermedad,Enfermedad,tipo_de_aislamiento,modo_de_limpieza,tiempo_de_aislamiento,declaracion_obligatioria,comparte_habitacion,advertencia
,Adenovirus,Respiratorio por gotas,Monopersulfato de potasio 20%,,,,
,Amebiasis,Contacto,Monopersulfato de potasio 20%,,,,
virus,B20,No,Monopersulfato de potasio 20%,no,,si,
resitencia Bacteria,BLEE,Contato,Monopersulfato de potasio 20%,6 meses,,,
Parasito,Chagas,No,Luz y Monopersulfato de potasio 20%,Alta Médica,,,
virua,Chicongunya,Entomológico,Monopersulfato de potasio 20%,,,,
bateria,Clostridioides ,Contacto por esporas,soluciones cloradas alta concentración,Alta Médica,no,no,Higiene de manos con agua y jabón( no usar soluciones hidroalcohólicas)
bateria,Cólera,Contacto,Monopersulfato de potasio 20%,,,,
virus,Covid ,Respiratorio por gotas,Monopersulfato de potasio 20%,,,,
virus,Dengue,Entomológico,Monopersulfato de potasio 20%,7 días,,,
,Difteria Cutánea,Contacto,Monopersulfato de potasio 20%,Hasta dos cultivos negativos de la lesión cutánea,,,
,Difteria Faríngea,Respiratorio por gotas,Monopersulfato de potasio 20%,14 de Tratamiento ATB,si,no,
,Ébola,Contacto,Monopersulfato de potasio 20%,,,,
,Estreptococo grupo A,Respiratorio por gotas,Monopersulfato de potasio 20%,,,,
resitencia Bacteria,EVR,No,Monopersulfato de potasio 20%,no,,,
,Fiebre Amarilla,Entomológico,Monopersulfato de potasio 20%,,,,
,Hepatitis A,contacto,Monopersulfato de potasio 20%,Alta Médica,,,
,Hepatitis B,contacto,Monopersulfato de potasio 20%,Alta Médica,,,
,Hepatitis C,contacto,Monopersulfato de potasio 20%,Alta Médica,,,
,Herpes Diseminado,Respiratorio aéreo,Monopersulfato de potasio 20%,Alta Médica,,,
,Herpes simple,contacto,Monopersulfato de potasio 20%,Alta Médica,,,
,Herpes Zoster diseminado,Respiratorio aéreo,Monopersulfato de potasio 20%,Alta Médica,,,
,Impétigo,Contacto,Monopersulfato de potasio 20%,,,,
,Influenza A,Repiratorio por Gotas,Monopersulfato de potasio 20%,,,,
,Influenza B,Repiratorio por Gotas,Monopersulfato de potasio 20%,,,,
,Influenza C,Repiratorio por Gotas,Monopersulfato de potasio 20%,,,,
,Influenza D,Repiratorio por Gotas,Monopersulfato de potasio 20%,,,,
resitencia Bacteria,KPC,Contato,Luz y Monopersulfato de potasio 20%,1 año,,,
,Lassa,Contacto,Monopersulfato de potasio 20%,,,,
,Marburg,Contacto,Monopersulfato de potasio 20%,,,,
,Meningitis,Respiratorio por gotas,Monopersulfato de potasio 20%,,,,
,Meningitis Meningococo,Respiratorio por gotas,Monopersulfato de potasio 20%,,,,
,Meningitis por Haemophilus,Respiratorio por gotas,Monopersulfato de potasio 20%,,,,
,Micoplasma ,Respiratorio por gotas,Monopersulfato de potasio 20%,,,,
resitencia Bacteria,NDM,Contato,Luz y Monopersulfato de potasio 20%,1 año,,,
,Neumonía,Repiratorio por Gotas,Monopersulfato de potasio 20%,,,,
,Neutropénico,Aislamiento protector ,Monopersulfato de potasio 20%,,,,
resitencia Bacteria,OXA 48,Contato,Luz y Monopersulfato de potasio 20%,1 año,,,
resitencia Bacteria,OXA164,Contato,Luz y Monopersulfato de potasio 20%,1 año,,,
,Paludismo,Entomológico,Monopersulfato de potasio 20%,,,,
,Parotiditis,Respiratorio por gotas,Monopersulfato de potasio 20%,,,,
,Pertusis,Respiratorio por gotas,Monopersulfato de potasio 20%,,,,
,Poliomelitis,Contacto,Monopersulfato de potasio 20%,,,,
,Priones,Contacto ,Monopersulfato de potasio 20%,Muerte,,,
,Rabia,"Contacto Oscuro, limitación de estimulo externo",,,,,
,Rotavirus ,Contacto,Monopersulfato de potasio 20%,,,,
Virus,Rubeola,Respiratorio por gotas,Monopersulfato de potasio 20%," El periodo de incubación de la rubéola oscila entre 14 y 18 días, con una rango de 12 a 23 días.",si,no,
Virus,Sarampión ,Respiratorio aéreo,Monopersulfato de potasio 20%,"el período de incubación dura aproximadamente 10 días, y varía de 7 a 18 días desde la exposición hasta el comienzo de la fiebre, y unos 14 días hasta que aparece la erupción, con un rango de 7 a 21 días.",si,no,
,TBC,Respiratorio aéreo,Luz y Monopersulfato de potasio 20%,Alta Médica,,,
,Tosferina,Respiratorio aéreo,Monopersulfato de potasio 20%,,,,
,Varicela,Respiratorio aéreo,Monopersulfato de potasio 20%,,,,
,VIM,Contacto,Luz y Monopersulfato de potasio 20%,1 año,,,
Virus,Virus Sincicial Respiratorio ,Contacto,Monopersulfato de potasio 20%,,,,
,Zica,Entomológico,Monopersulfato de potasio 20%,,si,no,
,Escabiosis,Contacto,Monopersulfato de potasio 20%,,,,
,Conjuntivitis,Contacto,Monopersulfato de potasio 20%,,,,
Bacteria,Legionela ,Respiratorio aéreo,Monopersulfato de potasio 20%,Alta Médica,si,no,"Establecer origen, no se transmiten de persona a persona"
,Coqueluche,Repiratorio por Gotas,Monopersulfato de potasio 20%,5 días de ATB o 21 son ATB,si,no,
,,,,,si,no,
